Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"301 E 5th St, Austin, TX 78701, USA",baf44558bd5c0d4f5a50df47b43df5b32ac7f973,30.2662553,-97.7406582,Eddie V's Prime Seafood,3.0,4.6,78701
"107 W 5th St, Austin, TX 78701, USA",e259af5fd78a9780e9ca0ac710946b8ad1bd0638,30.2672283,-97.7441874,Chinatown,2.0,3.9,78701
"407 Colorado St, Austin, TX 78701, USA",02bda85debca7fb7ee68a61d9982bf1a2063a810,30.2669643,-97.74449109999999,Frank,1.0,4.2,78701
"222 West Ave Suite HR100, Austin, TX 78701, USA",76280a29eaafa5308fcba01bc3dbc5742ad30dc1,30.2672253,-97.7522426,True Food Kitchen,2.0,4.5,78701
"415 Colorado St, Austin, TX 78701, USA",fd2d532d7f5425c22107b7a8b9f4c339b1f17bd1,30.267117,-97.7442219,Searsucker,3.0,4.2,78701
"606 Trinity St, Austin, TX 78701, USA",0e30205f8859ea791c2023a6a50cf30dd677a777,30.267395,-97.73945379999999,Iron Cactus Mexican Restaurant and Margarita Bar,0.0,3.8,78701
"200 E 6th St, Austin, TX 78701, USA",3203a343fa4df4bee776f255feb6286cfcd03c64,30.2677792,-97.74130749999999,Eureka!,2.0,4.4,78701
"621 Congress Ave Suite 101, Austin, TX 78701, USA",00f591d7051a0ffa75842ccfbc48803026a5cf1a,30.2688163,-97.742296,Caroline Restaurant,2.0,4.0,78701
"500 W William Cannon Dr Ste 422, Austin, TX 78745, USA",fe54b2448c239050c548a0b546ebed23639046e6,30.196692,-97.7852126,Wingstop,1.0,4.0,78745
"500 W William Cannon Dr, Austin, TX 78745, USA",4d54cea5e0ec5b7112a6eab2acb8656c84d50150,30.1977626,-97.78564589999999,Papa John's Pizza,2.0,3.0,78745
"3815 S Lamar Blvd, Austin, TX 78704, USA",50dfc0b70c5cb4a36c74063a53994788ff1f2a97,30.237734,-97.78956699999999,Red Lobster,1.0,4.1,78704
"3940 S Lamar Blvd, Austin, TX 78704, USA",3ea4cfa96fa364c35139212d96e453155dd9aa16,30.23713,-97.792259,Olive Garden Italian Restaurant,2.0,3.7,78704
"670 Old San Antonio Rd, Buda, TX 78610, USA",7e11c24bb869742938702c7f4f416953bc30e559,30.0868083,-97.8225442,Whataburger,1.0,4.2,78610
"701 Congress Ave, Austin, TX 78701, USA",7508532b9480680035e026e8753b86d827c27048,30.2690545,-97.74198849999999,Roaring Fork,3.0,4.2,78701
"207 San Jacinto Blvd #201, Austin, TX 78701, USA",2beb021f6b7b079d6abdbced8137eb2cf6fb28d6,30.2642243,-97.7413002,Mai Thai,2.0,4.0,78701
"117 San Jacinto Blvd, Austin, TX 78701, USA",25ee9c2b658b0e9a7f8a547768f3daa3f26cd06e,30.2634799,-97.741745,Gus’s World Famous Fried Chicken,1.0,4.5,78701
"303 Red River St, Austin, TX 78701, USA",14dd1ac0b96601f109a5e63a337a62ade4c890c1,30.2637675,-97.7380349,Moonshine Grill,2.0,4.5,78701
