Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"13729 US-183 Suite 695, Austin, TX 78750, USA",5c740c8358c893a0d8ede4b696d686d98fdeb0da,China Cafe,2.0,3.8,78750
"5607, 1914 Guadalupe St #A, Austin, TX 78705, United States",bbeedc2e08cb24603522652454a0c0d8903fb7b2,Look Noodles & More,,3.9,78705
"101, 5019, 3421 W William Cannon Dr, Austin, TX 78745, United States",c37bafc106fbc0ba980ca09ee886aa25d7aedac7,Me Con Bistro,,4.4,78745
"11600 Manchaca Rd A, Austin, TX 78748, USA",4dcdcf88fa1ac87b236ce97cf54f2895671eaf26,Southside Flying Pizza,2.0,3.9,78748
"3909 N Interstate Hwy 35 Ste E-5, Austin, TX 78722, USA",5a51db03a9759dd95f9fa17a8a5995b5e551ccda,Tso Chinese Delivery,,4.7,78722
"100 Colorado St, Austin, TX 78701, USA",cf9782de34e8b8be142cd541adb4508c400b9167,Mama Fu's Asian House,2.0,3.5,78701
"603 W Stassney Ln, Austin, TX 78745, USA",ae9093c0f3fc4e3e1b64476a888b716a68390ad3,1st Wok,2.0,4.4,78745
"103 W Center St, Kyle, TX 78640, USA",ee55cfcb9fe5d95798c1b338267019c388fa6344,East Buffet,,3.8,78640
"12913 Galleria Cir Suite 101, Bee Cave, TX 78738, USA",448bd139d7d1094c348b7ecdbea07718454f094c,Pei Wei,1.0,3.0,78738
"6705 U.S. 290, Austin, TX 78735, USA",d6360e5c9fa8b3cf9efb3718343f41f1a71efab0,Chen Z Noodle House,2.0,4.3,78735
"107 Ranch Rd 620 S #107, Austin, TX 78734, USA",0ed967e0f6a93a70477cdd21bc8cfda024e880b6,China Pacific Restaurant,2.0,3.8,78734
"1910 Guadalupe St, Austin, TX 78705, USA",89a5ba2d37a414a3799ae3940ccaf51b87778387,CoCo's Cafe,2.0,4.2,78705
"#100 13376, Research Blvd, Austin, TX 78750, United States",142e79c57a61c1d83d109a9eddcf5178126fbcd8,A+A Sichuan China,,4.0,78750
"2400 Seton Ave, Austin, TX 78705, USA",47456e45b3d0555926e8e9c137b56bdc5e1e12d9,Little Sheep Mongolian Hot Pot,,4.2,78705
"1000 E 41st St.Suite L-100, Austin, TX 78751, United States",0c230f17823c5665824f5da55463b08343edb218,Pei Wei,1.0,3.7,78751
"2301 Bliss Spillar Rd, Manchaca, TX 78652, USA",0a84d179b7c7eb1646a1c80600062ba4baec9f1c,Tony's South Austin Pizza,2.0,4.1,78652
"340 Old San Antonio Rd, Buda, TX 78610, USA",f7683c68c688bb22948b9c9f4f6edbf3ee2b48a7,Panda Express,,3.6,78610
"13450 Research Blvd #118, Austin, TX 78750, USA",9fd227999a229638edb3a33fe57f69a377186ddc,Nanking Restaurant,2.0,4.2,78750
"106 Burleson St, Kyle, TX 78640, USA",8ee57618b756dce1e4438ed91cc06e9f4dbf4fa6,Hays City Donuts/ Hays City Chinese Cuisine,,4.5,78640
"2410 E Riverside Dr, Austin, TX 78741, USA",0978a532562e3e28da328c76414d3ca248bd9a57,Joy East,1.0,3.4,78741
"1332, 1913 E Riverside Dr, Austin, TX 78741, United States",74126c3ee327733a94b2b10003894e75eb3f813c,China Express,2.0,3.8,78741
"3505 N Interstate 35 Frontage Rd, Austin, TX 78722, USA",b7813e83af8f8b797e4ad9591f2782afa68c08ae,DFG Noodles,,4.4,78722
"5601 Brodie Ln # 550, Sunset Valley, TX 78745, USA",d729b62b942dc59c1064a94633e3ef75b09f1618,Fire Bowl Cafe,2.0,3.9,78745
"4211 S Lamar Blvd # E1, Austin, TX 78704, USA",5a90c0c4b01a128fcdf377d5abe0e0b3437b661b,Dong Nai,2.0,4.1,78704
"11215 S IH 35 Frontage Rd, Austin, TX 78747, USA",60f10b55ab21c9b89326b64edc27e554e5dfbb2c,Panda 2 Go,,2.5,78747
