Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"251 N Bell Blvd #111B, Cedar Park, TX 78613, USA",ffeee3824dddc427e4ba14d7656664dfaad45f9e,Los Reyes Mexican Restaurant,2.0,4.2,78613
"300 W Whitestone Blvd, Cedar Park, TX 78613, USA",f23cfeb66c4de581df1b3750f17e26bf9830f51e,J&J BBQ & Burgers,,4.1,78613
"1420 Cypress Creek Road #1000, Cedar Park, TX 78613, USA",d78522a7e750aca2f2b512da2aa68185aca6fd9a,Maggiores,2.0,4.2,78613
"1420 Cypress Creek Road #300, Cedar Park, TX 78613, United States",1e36ca054bab515fed6c13b1f07117628fb55bd4,Hot Wok Cafe Chinese Restaurant,2.0,3.7,78613
"601 E Whitestone Blvd, Cedar Park, TX 78613, USA",305d74e7a8d1c874ec7f0b95c63965e14a69594a,Sichuan Bistro Restaurant,2.0,4.0,78613
"1469 E Whitestone Blvd, Cedar Park, TX 78613, USA",9232ed9e1adf18f5e4c768888524ecc9c9117467,LongHorn Steakhouse,2.0,3.9,78613
"2901 E Whitestone Blvd, Cedar Park, TX 78613, USA",97cea7093958ee37a61ff756c73420279bd0a6cf,Wendy's,1.0,3.4,78613
"115 S Lakeline Blvd #100, Cedar Park, TX 78613, USA",1fa36cc2cc965be203d3ca84d5f8cbe922094861,Morning Sunshine Breakfast Treats,,4.8,78613
"1335 E Whitestone Blvd #150, Cedar Park, TX 78613, USA",89fa990b7a4103b08ba9159d5e75ce02fb8f3e75,Cha-Da Thai,1.0,4.4,78613
"810 N Bell Blvd, Cedar Park, TX 78613, USA",f0d291d19bc9807524d3e338449746aff0c748dc,Wendy's,1.0,3.2,78613
"11066 Pecan Park Blvd, Cedar Park, TX 78613, USA",ca350a954b2a99061f7f816fca024d8f8a563764,Texican Cafe,2.0,4.0,78613
"401 Cypress Creek Rd #600, Cedar Park, TX 78613, USA",c9461a408292aaa0f2f9ca3e1bbb473d29fbc241,The Dig Pub,2.0,4.5,78613
"905 E Whitestone Blvd a, Cedar Park, TX 78613, USA",3eba08f394423718bbd5aaf6d4bafcbe75ae082f,Pieology Pizzeria,,4.1,78613
"200 Buttercup Creek Blvd # 128, Cedar Park, TX 78613, USA",3163a775957d89eb37783bc6f726b65948bb3fb6,Thamnak Thai,2.0,4.4,78613
"401 W Whitestone Blvd Ste B100, Cedar Park, TX 78613, USA",6e0ed2ef8fb0e9ed4d0496b1b506ba5f0d619a45,Wingstop,1.0,3.5,78613
"401 E Whitestone Blvd # C106, Cedar Park, TX 78613, USA",bc9ba59722704f22b9980e0bbe018eee2c0874fe,Kung Fu Buffet,,3.0,78613
"500 Cypress Creek Road #170, Cedar Park, TX 78613, USA",bf7bcbcda2855b7969570075470e4abba90ae58e,Santa Catarina,,4.4,78613
"800 E Whitestone Blvd, Cedar Park, TX 78613, USA",0b4877ed6cfd7ab354f6a9b939dc9063d49d8ed3,IHOP,1.0,3.6,78613
"920 N Vista Ridge Blvd #550, Cedar Park, TX 78613, USA",396a8844811852fdba24f90f382aa164aa014bd8,Yaghi's New York Pizzeria,2.0,4.1,78613
"202 Walton Way #158, Cedar Park, TX 78613, USA",8b7d69e1dc37b03418be8507162ba3fe1d7406fe,Little Caesars Pizza,1.0,3.2,78613
"601 E Whitestone Blvd, Cedar Park, TX 78613, USA",5867a63184a15be11069ef78133b48781a09730d,1431 Cafe,2.0,3.7,78613
"950 N Bell Blvd, Cedar Park, TX 78613, USA",53aecd765f0665febaa5edd889cf08236d4db5b4,Taco Bell,1.0,3.5,78613
"2100 Cypress Creek Road #100, Cedar Park, TX 78613, USA",12e270675fdd9d17e811a9474b3b81ac6cf0954e,Yaghis New York Pizzeria,2.0,3.8,78613
"1325 E Whitestone Blvd, Cedar Park, TX 78613, USA",b4c7f6ed9ccc879553d8dcf4107464f1f76b4f99,Chick-fil-A,1.0,4.6,78613
"1525 Cypress Creek Road C, Cedar Park, TX 78613, USA",4d359ead8b5f909f53e11a7264416aebcb52ad8d,SUBWAY®Restaurants,1.0,3.5,78613
"251 N Bell Blvd, Cedar Park, TX 78613, USA",caf4c41fb3e089f21389d5978f6a22754702cffd,Popeyes Louisiana Kitchen,1.0,3.0,78613
"11013 Lakeline Mall Dr, Cedar Park, TX 78613, USA",6fbb57b115728bc7870fbd6934b036c02874b47a,Applebee’s Grill + Bar,2.0,3.6,78613
"909 E Whitestone Blvd, Cedar Park, TX 78613, USA",d4526b45b9b99909cecc38ed1dda3a4861956843,Chipotle Mexican Grill,1.0,4.1,78613
"401 W Whitestone Blvd, Cedar Park, TX 78613, USA",5611ceddec132eb8f5d46fab58cfadc4ec667d1c,Panda Express,1.0,3.4,78613
"United States, Texas, Cedar Park, Walton Way",d6fa5558ab9d93ea4efb1c33cf75df7b5ca38562,Gangnam Zip,,4.8,
"201 Walton Way, Cedar Park, TX 78613, USA",a92455602a3c6c2bb784e8f8f45c2c79b16834c9,Burger King,1.0,3.2,78613
"4701 Texas 183A Toll Road, Suite C, Cedar Park, TX 78613, United States",be425d0e3da9d8b846e8c149aff794da4e8e9e20,Mama Fu's Asian House,,3.3,78613
"1456 E Whitestone Blvd, Cedar Park, TX 78613, USA",871bdf472ea68e223266c05c6274a8aed491e53b,Raising Cane's Chicken Fingers,1.0,4.4,78613
"1465 E Whitestone Blvd, Cedar Park, TX 78613, USA",8ee658d3e0a35a920a80dc9bdfde0d3780385cfb,Freddy's Frozen Custard & Steakburgers,2.0,3.9,78613
"1335 E Whitestone Blvd s190, Cedar Park, TX 78613, USA",542c66918a2d68bd5d3343d25ebe400145fba721,Amy's China Cuisine,,3.6,78613
"2463 E State Hwy 71 Service Rd, Del Valle, TX 78617, USA",9dc8cd444db5fdacc9efdf593379f02e6797f65c,Jasmine's Restaurant,,4.5,78617
"2701 Texas 71, Del Valle, TX 78617, USA",6625511882d723dd59f28758da338ab96eb66b70,El Michoacano Mexican Restaurant,,4.0,78617
"13602 FM812 Unit B, Del Valle, TX 78617, USA",32bf85df3b4b86eabb6498f79a19df870f5f7dfc,Meches Mexican Restaurant,,4.5,78617
"5121 Albert Brown Dr, Del Valle, TX 78617, USA",f0b37ae89b2e7ab4bfe39975dc4a19ac4224465d,Hit the Spot Cafe,,4.6,78617
"375 Mesa Dr, Del Valle, TX 78617, USA",9576e6ae6d28c379e899f44ee6e9550edfc37e13,Gary's Grill,,4.5,78617
"526 Mesa Dr, Del Valle, TX 78617, USA",358a83fa34d6ab768d9226d2e22990894586fc1d,Taqueria Cornejo,,4.5,78617
"13820 Farm to Market Road 812, Del Valle, TX 78617, USA",d58ca38ee7f803114c23afa312bdf103d03857f7,Meches Tacos,,4.6,78617
"9016 Elroy Rd, Del Valle, TX 78617, USA",ccb1d1b1ec7a0c58ccaac324f393f5496cd1e533,pats parking and tacos,,,78617
"13912 FM812, Del Valle, TX 78617, USA",60c7e94804df225425db0863822ff0c11459c6ea,Elroy Sausage Co-BBQ,,1.0,78617
"3115 E Hwy 71, Del Valle, TX 78617, USA",f2f3adf2ff61bb209564d8a9b2716a1484b61049,Sonic Drive-In,1.0,2.5,78617
"7200 Elroy Rd Suite 110, Del Valle, TX 78617, USA",fb25f6b748ec3edb8dd8f4302780102853665bb3,Los 4 Hermanos Neveria Y Fruteria #2,,3.0,78617
"14107 FM812, Del Valle, TX 78617, USA",b726812120070cd1a7e00b5f45ba27d1c0c6a5f1,Taqueria Mechita,,3.8,78617
"13912 FM 812, Del Valle, TX 78617, USA",b480ae8d048da932ba36a157c23b46b7a6d01d35,Wild Bubba's Wild Game Grill,,4.4,78617
"Mesa Dr, Del Valle, TX 78617, USA",c1b1d039eec178cfb94b8699d3fa526448730808,Lety's Tacos,,4.6,78617
"1615 Crozier Ln, Austin, TX 78617, USA",c43f36c6f7ad13a210954b318025621319c215cb,The Black Forest,,4.7,78617
"13903 FM812, Del Valle, TX 78617, USA",4b517bcfa4b331a2658c0b4b16aa55e0fbd4b99a,Mi Lupita taqueria,,4.4,78617
"4836 E Hwy 71, Del Valle, TX 78617, USA",c260bfa56e449076094f1b51a6bc545ed8ddb024,Blue Prairie at NLand Surf Park,,5.0,78617
"5246 E Hwy 71, Del Valle, TX 78617, USA",b8465cec7977b2075ba8f710cc06e322ca26a569,Kyote Junction,,,78617
"2511 E State Hwy 71 Service Rd, Del Valle, TX 78617, USA",1c91c4d497bd01916623119379264ea711952908,Starbucks/Jack In The Box,,,78617
"107 Stork Rd, Del Valle, TX 78617, USA",df82eb666e5214dffa02cd68e239904bf195474b,Taco Stand,,,78617
"16601 Jacobson Rd, Del Valle, TX 78617, USA",c1171199d54289a927e6eade52a71b96b54cd795,La Cuchie Bar & Grill,,,78617
"8218 Elroy Rd, Del Valle, TX 78617, USA",f917469628dc80b9bfaa9d6d5ca1ba49a953bc7e,Haywood’s Hill,,4.8,78617
"2715 FM812, Del Valle, TX 78617, USA",0bdfc925571b238611baaac246047712e69d6a96,The Pit Stop Bar And Grill,,4.8,78617
"2777 HWY 71, EAST DEL VALLE,, Del Valle, TX 78617, United States",71dea672424c5608c529de92d586fd6af7d0ba2c,Airport Express Meat Market,,5.0,78617
"1005 US-183, Leander, TX 78641, USA",ce9cf268622eb58ca49b2f3842b3772c0f93e5d8,Mayito's Mexican Restaurant,,4.4,78641
"651 N. HWY 183, Suite 310, Leander, TX 78641, United States",88efa3f41517d7f9fc862eaf60e9c7178541642f,La Tapatia Mexican Restaurant,2.0,4.1,78641
"2834, 1906 S Bagdad Rd, Leander, TX 78641, United States",9098a62bd192ad8f0bbbc11b8b4cc82a035c2aec,Great Wall Restaurant,2.0,3.5,78641
"11830 Old 2243 W, Leander, TX 78641, USA",f5ad6b687c20105c1278b90fa8e4ae8134d05dc3,Cherry Creek Catfish,,4.6,78641
"11880 Old 2243 W #201, Leander, TX 78641, USA",c5a1c096d954f973bc8b26ec84a3db8ef764ba8d,Farm to Fork,,4.6,78641
"2800 S Bagdad Rd, Leander, TX 78641, USA",639cb5ed8f4cc0a23d0f3ac2ebaf0b88486a077d,Marco's Pizza,2.0,3.6,78641
"309 N Hwy 183, Leander, TX 78641, United States",606c1e445ee35b51bd7d7108862354368c91c49b,Mouton's Southern Bistro,2.0,4.4,78641
"1805 US-183, Leander, TX 78641, USA",f6b800a92c5c4bd9218515835c0bc3ea005dfa80,Kai Sushi,,4.6,78641
"703 US-183, Leander, TX 78641, USA",0cb13f495955be0182c7109481acbfb60cb1369c,Jardin Del Rey,2.0,4.3,78641
"2701 US-183, Leander, TX 78641, USA",6575bc77399866e56e704425b4a20008fa3a2de8,Poke Fit,,4.9,78641
